Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-01-2026;06:30:00;01-01-2026;06:45:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2026;06:30:00;01-01-2026;06:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;06:45:00;01-01-2026;07:00:00;="541448800000018463";;AMR-meter;Afname Actief;14,375;kWh;Gevalideerd;
01-01-2026;06:45:00;01-01-2026;07:00:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;06:45:00;01-01-2026;07:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,250;kVArh;Gevalideerd;
01-01-2026;06:45:00;01-01-2026;07:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;07:00:00;01-01-2026;07:15:00;="541448800000018463";;AMR-meter;Afname Actief;13,750;kWh;Gevalideerd;
01-01-2026;07:00:00;01-01-2026;07:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;07:00:00;01-01-2026;07:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2026;07:00:00;01-01-2026;07:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;07:15:00;01-01-2026;07:30:00;="541448800000018463";;AMR-meter;Afname Actief;13,750;kWh;Gevalideerd;
01-01-2026;07:15:00;01-01-2026;07:30:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;07:15:00;01-01-2026;07:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2026;07:15:00;01-01-2026;07:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;07:30:00;01-01-2026;07:45:00;="541448800000018463";;AMR-meter;Afname Actief;14,375;kWh;Gevalideerd;
01-01-2026;07:30:00;01-01-2026;07:45:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;07:30:00;01-01-2026;07:45:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2026;07:30:00;01-01-2026;07:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;07:45:00;01-01-2026;08:00:00;="541448800000018463";;AMR-meter;Afname Actief;15,000;kWh;Gevalideerd;
01-01-2026;07:45:00;01-01-2026;08:00:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;07:45:00;01-01-2026;08:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2026;07:45:00;01-01-2026;08:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;08:00:00;01-01-2026;08:15:00;="541448800000018463";;AMR-meter;Afname Actief;13,125;kWh;Gevalideerd;
01-01-2026;08:00:00;01-01-2026;08:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;08:00:00;01-01-2026;08:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;2,500;kVArh;Gevalideerd;
01-01-2026;08:00:00;01-01-2026;08:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;08:15:00;01-01-2026;08:30:00;="541448800000018463";;AMR-meter;Afname Actief;13,750;kWh;Gevalideerd;
01-01-2026;08:15:00;01-01-2026;08:30:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;08:15:00;01-01-2026;08:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2026;08:15:00;01-01-2026;08:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;08:30:00;01-01-2026;08:45:00;="541448800000018463";;AMR-meter;Afname Actief;11,875;kWh;Gevalideerd;
01-01-2026;08:30:00;01-01-2026;08:45:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;08:30:00;01-01-2026;08:45:00;="541448800000018463";;AMR-meter;Afname Capacitief;2,500;kVArh;Gevalideerd;
01-01-2026;08:30:00;01-01-2026;08:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;08:45:00;01-01-2026;09:00:00;="541448800000018463";;AMR-meter;Afname Actief;12,500;kWh;Gevalideerd;
01-01-2026;08:45:00;01-01-2026;09:00:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;08:45:00;01-01-2026;09:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;2,500;kVArh;Gevalideerd;
01-01-2026;08:45:00;01-01-2026;09:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;09:00:00;01-01-2026;09:15:00;="541448800000018463";;AMR-meter;Afname Actief;10,625;kWh;Gevalideerd;
01-01-2026;09:00:00;01-01-2026;09:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;09:00:00;01-01-2026;09:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2026;09:00:00;01-01-2026;09:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;09:15:00;01-01-2026;09:30:00;="541448800000018463";;AMR-meter;Afname Actief;9,375;kWh;Gevalideerd;
01-01-2026;09:15:00;01-01-2026;09:30:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;09:15:00;01-01-2026;09:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2026;09:15:00;01-01-2026;09:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;09:30:00;01-01-2026;09:45:00;="541448800000018463";;AMR-meter;Afname Actief;5,625;kWh;Gevalideerd;
01-01-2026;09:30:00;01-01-2026;09:45:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
